Number of Training Datapoints : 533746
Number of Validation Datapoints : 28092

Training Logs

Step: 1
loss: 32.2865
grad_norm: 133.56082153320312
learning_rate: 0.0019999600319744204
epoch: 5.995203836930456e-05

Step: 500
loss: 0.2472
grad_norm: 0.09802735596895218
learning_rate: 0.001980015987210232
epoch: 0.02997601918465228

Step: 1000
loss: 0.0625
grad_norm: 0.10048986971378326
learning_rate: 0.0019600319744204637
epoch: 0.05995203836930456

Step: 1500
loss: 0.0525
grad_norm: 0.09207140654325485
learning_rate: 0.0019400479616306955
epoch: 0.08992805755395683

Step: 2000
loss: 0.0452
grad_norm: 0.08330415934324265
learning_rate: 0.0019200639488409273
epoch: 0.11990407673860912

Step: 2500
loss: 0.0404
grad_norm: 0.06568878889083862
learning_rate: 0.0019000799360511592
epoch: 0.1498800959232614

Step: 3000
loss: 0.0378
grad_norm: 0.08702881634235382
learning_rate: 0.001880095923261391
epoch: 0.17985611510791366

Step: 3500
loss: 0.0361
grad_norm: 0.05382658541202545
learning_rate: 0.0018601119104716226
epoch: 0.20983213429256595

Step: 4000
loss: 0.0338
grad_norm: 0.047595102339982986
learning_rate: 0.0018401278976818544
epoch: 0.23980815347721823

Step: 4500
loss: 0.0324
grad_norm: 0.06786368042230606
learning_rate: 0.0018201438848920864
epoch: 0.2697841726618705

Step: 5000
loss: 0.0309
grad_norm: 0.06417783349752426
learning_rate: 0.0018001598721023183
epoch: 0.2997601918465228

Step: 5500
loss: 0.0695
grad_norm: 0.10075461864471436
learning_rate: 0.00178017585931255
epoch: 0.32973621103117506

Step: 6000
loss: 0.0307
grad_norm: 0.06657648831605911
learning_rate: 0.0017601918465227817
epoch: 0.3597122302158273

Step: 6500
loss: 0.0285
grad_norm: 0.05853499844670296
learning_rate: 0.0017402078337330135
epoch: 0.38968824940047964

Step: 7000
loss: 0.0272
grad_norm: 0.06408606469631195
learning_rate: 0.0017202238209432456
epoch: 0.4196642685851319

Step: 7500
loss: 0.0264
grad_norm: 0.07411783933639526
learning_rate: 0.0017002398081534774
epoch: 0.44964028776978415

Step: 8000
loss: 0.0259
grad_norm: 0.04570579156279564
